cross_street,elev,lat_long_google_maps,lat,long
136,18,"40.8217277830566, -73.95677251360165",40.82172778,-73.95677251
135,20,"40.821155784059265, -73.95754616066662",40.82115578,-73.95754616
134,23,"40.8206174275524, -73.95840873268556",40.82061743,-73.95840873
133,23,"40.820011771262905, -73.95887114242555",40.82001177,-73.95887114
132,23,"40.81939013362404, -73.95935338966093",40.81939013,-73.95935339
131,23,"40.8187440880986, -73.9597535519359",40.81874409,-73.95975355
130,24,"40.81811822549562, -73.96022485417089",40.81811823,-73.96022485
129,25,"40.81750581656071, -73.9606961564297",40.81750582,-73.96069616
