lat,long,elev,d_distance,d_height,slope,slope_angle,d_calories,calories_sum,distance_sum
40.83492,-73.94778,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.8349,-73.94776,25.0,2.7869493460967107,0.3000000000000007,0.10764458292726728,6.143922567610612,0.24498692200773714,0.24498692200773714,2.7869493460967107
40.83492,-73.94772,24.81,4.031103771958828,-0.19000000000000128,-0.04713349264826166,-2.698553046915681,0.18719954868910108,0.43218647069683824,6.8180531180555395
40.83494,-73.94766,24.74,5.512497971299516,-0.07000000000000028,-0.012698417371661814,-0.7275266190649983,0.2740831806736863,0.7062696513705246,12.330551089355055
40.835,-73.94734,23.27,27.71844763132672,-1.4699999999999989,-0.05303327298671086,-3.0357388137954597,1.2872109428295415,1.993480594200066,40.04899872068177
40.83508,-73.94686,22.92,41.324404158011966,-0.34999999999999787,-0.008469571603784152,-0.48525910426815366,2.0546627300441003,4.048143324244166,81.37340287869374
40.83513,-73.94657,24.04,25.007301733334685,1.1199999999999974,0.04478691911438968,2.5643877509443618,1.641931834156685,5.690075158400852,106.38070461202842
40.83521,-73.94597,25.87,51.22329147927554,1.8300000000000018,0.035725935353849776,2.046075113503212,3.198216493235992,8.888291651636845,157.60399609130397
40.83522,-73.94595,25.9,2.0155454327646742,0.029999999999997584,0.014884308491546787,0.8527450881237781,0.10021357030526659,8.98850522194211,159.61954152406864
40.83525,-73.94595,25.82,3.33375340398534,-0.0799999999999983,-0.023996975872409215,-1.3746616105551044,0.15481544707631115,9.143320669018422,162.95329492805396
40.83525,-73.94592,26.0,2.5222941865930273,0.17999999999999972,0.07136360261097599,4.081913219461937,0.1893980079326929,9.332718676951115,165.475589114647
40.83513,-73.94581,26.7,16.228242908468317,0.6999999999999993,0.043134676005787485,2.4699038105221836,1.055985968088577,10.388704645039692,181.7038320231153
40.83513,-73.94582,26.65,0.8407662521427471,-0.05000000000000071,-0.059469561096883325,-3.4033465128771123,0.03904416057184964,10.427748805611541,182.54459827525804
40.83495,-73.94692,23.54,94.62276417644773,-3.1099999999999994,-0.0328673551979588,-1.8824830728000328,4.39416590383106,14.821914709442602,277.1673624517058
40.83494,-73.94708,23.35,13.498117963731918,-0.18999999999999773,-0.014076036415632799,-0.8064442201469748,0.6711307875068697,15.493045496949472,290.66548041543774
40.83486,-73.94761,25.0,45.438905340393624,1.6499999999999986,0.036312494494298596,2.0796389305744283,2.846536726113846,18.339582223063317,336.10438575583134
40.83484,-73.94764,25.0,3.3617794516904334,0.0,0.0,0.0,0.16714876080499358,18.506730983868312,339.4661652075218
40.8348,-73.94768,25.01,5.573901446939423,0.010000000000001563,0.0017940754954489679,0.10279284373048475,0.27713618132700674,18.783867165195318,345.0400666544612
40.83441,-73.94796,25.03,49.3199753622025,0.019999999999999574,0.000405515206630193,0.023234308594715706,2.4522051143419517,21.236072279537268,394.3600420166637
40.83428,-73.9481,24.63,18.63458807136836,-0.40000000000000213,-0.021465459739064125,-1.2296914049093466,0.8653675703496855,22.101439849886955,412.99463008803207
40.83423,-73.94823,22.52,12.261288014508589,-2.1099999999999994,-0.17208632547439304,-9.764185163231039,0.5693992793313125,22.670839129218265,425.25591810254065
40.83421,-73.94837,20.28,11.978870820150114,-2.2399999999999984,-0.18699592253987823,-10.59175210116618,0.5562841688512223,23.227123298069486,437.23478892269077
40.83423,-73.94853,18.84,13.63480046864343,-1.4400000000000013,-0.10561210655862803,-6.028779419568097,0.6331835245599982,23.860306822629486,450.8695893913342
40.83431,-73.94878,17.55,22.82210889061123,-1.2899999999999991,-0.05652413658102785,-3.2351519841270506,1.059830936175557,24.920137758805044,473.69169828194543
40.83439,-73.94895,17.61,16.832339955639235,0.05999999999999872,0.0035645667897705033,0.20423376784190683,0.8369093825053691,25.757047141310412,490.52403823758465
40.83444,-73.94906,17.95,10.789219463014161,0.33999999999999986,0.0315129376286702,1.8049610029803442,0.6574759234770068,26.41452306478742,501.3132577005988
40.83435,-73.94909,17.15,10.31442377951128,-0.8000000000000007,-0.07756128864795454,-4.4350553153020265,0.4789892758266519,26.893512340614073,511.6276814801101
40.83435,-73.94909,17.15,0.0,0.0,0.0,0.0,0.0,26.893512340614073,511.6276814801101
40.83435,-73.94909,17.15,0.0,0.0,0.0,0.0,0.0,26.893512340614073,511.6276814801101
40.83435,-73.94909,17.15,0.0,0.0,0.0,0.0,0.0,26.893512340614073,511.6276814801101
40.83428,-73.94914,16.38,8.842042007998987,-0.7699999999999996,-0.0870839563195262,-4.9769873167694385,0.4106136599364104,27.304126000550482,520.469723488109
40.83398,-73.94934,8.98,37.338383222423474,-7.399999999999999,-0.19818747790761188,-11.210042116667534,1.7339490331755638,29.038075033726045,557.8081067105325
40.8327,-73.94971,16.84,145.60233754005884,7.859999999999999,0.05398264981726352,3.089978800714793,10.03559252115458,39.07366755488063,703.4104442505914
40.83259,-73.94968,19.06,12.481299497390454,2.219999999999999,0.17786609482964083,10.085503079711607,1.4029246768108017,40.47659223169143,715.8917437479818
40.83252,-73.94966,20.57,7.958444970599786,1.5100000000000016,0.18973555833812605,10.743342896130123,0.927084294617365,41.40367652630879,723.8501887185815
40.83229,-73.94961,22.42,25.902213914595198,1.8500000000000014,0.07142246628414942,4.0852687564446715,1.9455265167483142,43.34920304305711,749.7524026331768
40.83215,-73.94959,23.0,15.64813408486183,0.5799999999999983,0.037065122068521666,2.1227033444431234,0.9844712196092311,44.33367426266634,765.4005367180386
40.83208,-73.94958,23.0,7.824067185874618,0.0,0.0,0.0,0.389015149080155,44.7226894117465,773.2246039039131
