,lat,long,elev,d_distance,d_height,slope,slope_angle,d_calories,calories_sum,distance_sum
0,40.83471,-73.94743,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,40.83472,-73.94747,26.01,3.541924181352077,-0.08999999999999986,-0.02540991715007397,-1.4555677952077897,0.1644826443944234,0.1644826443944234,3.541924181352077
2,40.83444,-73.94766,26.27,34.97621998104776,0.259999999999998,0.007433622047805103,0.4259073249166446,1.7390289611459422,1.9035116055403656,38.51814416239984
3,40.83432,-73.94775,26.0,15.332377593679434,-0.2699999999999996,-0.01760979328550475,-1.0088625575991332,0.7120169383466298,2.6155285438869953,53.850521756079274
4,40.83413,-73.94808,23.63,34.86564609195726,-2.370000000000001,-0.06797522104564435,-3.8887112067997305,1.6191181329962998,4.234646676883295,88.71616784803653
5,40.83409,-73.94837,19.67,24.784452243141036,-3.9599999999999973,-0.15977758802782926,-9.077851307234548,1.1509597710425719,5.385606447925866,113.50062009117757
6,40.83416,-73.94861,17.02,21.62611485794088,-2.650000000000002,-0.12253703531158996,-6.986028045794977,1.0042904301959867,6.389896878121853,135.12673494911846
7,40.83423,-73.94882,16.43,19.293922027895096,-0.5899999999999999,-0.03057957833285423,-1.7515349541972305,0.8959862361245008,7.285883114246354,154.42065697701355
8,40.8343,-73.94898,16.45,15.53953335680754,0.019999999999999574,0.0012870399349049948,0.07374191561773198,0.7726306205995048,8.058513734845858,169.9601903338211
9,40.83435,-73.94909,17.15,10.78923022431878,0.6999999999999993,0.06487951275914093,3.712119553390096,0.7853620526803691,8.843875787526228,180.74942055813986
10,40.83428,-73.94914,16.38,8.842042007998987,-0.7699999999999996,-0.0870839563195262,-4.9769873167694385,0.4106136599364104,9.254489447462639,189.59146256613886
11,40.8327,-73.94971,16.84,182.0008622050226,0.46000000000000085,0.0025274605539055872,0.14481251426825473,9.049141688254696,18.303631135717335,371.59232477116143
12,40.83259,-73.94968,19.06,12.481299497390454,2.219999999999999,0.17786609482964083,10.085503079711607,1.4029246768108017,19.706555812528137,384.0736242685519
13,40.83252,-73.94966,20.57,7.958444970599786,1.5100000000000016,0.18973555833812605,10.743342896130123,0.927084294617365,20.633640107145503,392.03206923915167
14,40.83229,-73.94961,22.42,25.902213914595198,1.8500000000000014,0.07142246628414942,4.0852687564446715,1.9455265167483142,22.579166623893816,417.9342831537469
15,40.83215,-73.94959,23.0,15.64813408486183,0.5799999999999983,0.037065122068521666,2.1227033444431234,0.9844712196092311,23.563637843503045,433.58241723860874
16,40.83208,-73.94958,23.0,7.824067185874618,0.0,0.0,0.0,0.389015149080155,23.9526529925832,441.4064844244834
17,40.83186,-73.94956,23.75,24.505291224098766,0.75,0.03060563505005164,1.7530264981732044,1.485399345270892,25.438052337854092,465.91177564858214
18,40.83162,-73.94956,23.75,26.67002723329648,0.0,0.0,0.0,1.3260423733149276,26.76409471116902,492.5818028818786
19,40.83149,-73.94957,23.64,14.470712815763067,-0.10999999999999943,-0.007601560572757378,-0.43552894983322027,0.7194885178751059,27.483583229044125,507.0525156976417
20,40.83146,-73.94958,23.54,3.438150316032116,-0.10000000000000142,-0.02908540663091454,-1.666001360647731,0.15966351250088237,27.643246741545006,510.49066601367383
21,40.83141,-73.94958,23.54,5.556255673780153,0.0,0.0,0.0,0.2762588277827298,27.919505569327736,516.046921687454
22,40.83119,-73.94963,24.0,24.806364424890624,0.46000000000000085,0.01854362824479182,1.0623498777297866,1.397165653280473,29.31667122260821,540.8532861123446
23,40.83086,-73.94976,23.88,38.265678752280294,-0.120000000000001,-0.00313596946174253,-0.17967722584112264,1.9025819143458196,31.21925313695403,579.1189648646249
24,40.83078,-73.94979,24.15,9.240945818002446,0.2699999999999996,0.029217788451265228,1.6735798399168502,0.555581275119903,31.774834412073933,588.3599106826274
25,40.83057,-73.94988,23.89,24.532576107957397,-0.259999999999998,-0.010598153200701343,-0.6072067157224109,1.2197676125771235,32.99460202465106,612.8924867905848
26,40.83044,-73.94992,23.86,14.832611016222504,-0.030000000000001137,-0.0020225704002612877,-0.11588458968335001,0.7374822133609698,33.73208423801203,627.7250978068073
27,40.83031,-73.94995,23.84,14.664837840702942,-0.019999999999999574,-0.0013638064203129912,-0.07814030351064981,0.7291404768528498,34.461224714864876,642.3899356475102
28,40.8301,-73.94998,23.28,23.472209364925092,-0.5599999999999987,-0.02385800123429437,-1.3667035065557174,1.0900208102841533,35.55124552514903,665.8621450124353
29,40.82993,-73.95001,23.0,19.05893565049947,-0.28000000000000114,-0.014691271597460023,-0.8416873069381949,0.947616440049694,36.49886196519872,684.9210806629349
30,40.82984,-73.95002,23.0,10.036543507525346,0.0,0.0,0.0,0.4990201868253746,36.9978821520241,694.9576241704602
31,40.82965,-73.95007,23.24,21.528270194686254,0.23999999999999844,0.0111481320993099,0.6387144596298088,1.0703925516313861,38.06827470365548,716.4858943651465
32,40.82962,-73.95007,23.32,3.333753404692219,0.08000000000000185,0.023996975867322034,1.3746616102637983,0.19423747707305394,38.262512180728535,719.8196477698386
33,40.82961,-73.95008,23.32,1.393515188212129,0.0,0.0,0.0,0.06928602551707291,38.33179820624561,721.2131629580508
34,40.82953,-73.95011,24.08,9.240958798484208,0.759999999999998,0.08224254826508486,4.701569747310244,0.7294883947232282,39.061286600968835,730.4541217565351
35,40.82893,-73.95039,25.91,70.70971255679221,1.8300000000000018,0.025880461591895075,1.4825102858792365,4.167219245688915,43.22850584665775,801.1638343133272
