,lat,long,elev,d_distance,d_height,slope,slope_angle,d_calories,calories_sum,distance_sum
0,40.83471,-73.94743,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,40.83472,-73.94747,26.01,3.541924181352077,-0.08999999999999986,-0.02540991715007397,-1.4555677952077897,0.1644826443944234,0.1644826443944234,3.541924181352077
2,40.83444,-73.94766,26.27,34.97621998104776,0.259999999999998,0.007433622047805103,0.4259073249166446,1.7390289611459422,1.9035116055403656,38.51814416239984
3,40.83432,-73.94775,26.0,15.332377593679434,-0.2699999999999996,-0.01760979328550475,-1.0088625575991332,0.7120169383466298,2.6155285438869953,53.850521756079274
4,40.83413,-73.94808,23.63,34.86564609195726,-2.370000000000001,-0.06797522104564435,-3.8887112067997305,1.6191181329962998,4.234646676883295,88.71616784803653
5,40.83409,-73.94837,19.67,24.784452243141036,-3.9599999999999973,-0.15977758802782926,-9.077851307234548,1.1509597710425719,5.385606447925866,113.50062009117757
6,40.83416,-73.94861,17.02,21.62611485794088,-2.650000000000002,-0.12253703531158996,-6.986028045794977,1.0042904301959867,6.389896878121853,135.12673494911846
7,40.83423,-73.94882,16.43,19.293922027895096,-0.5899999999999999,-0.03057957833285423,-1.7515349541972305,0.8959862361245008,7.285883114246354,154.42065697701355
8,40.8343,-73.94898,16.45,15.53953335680754,0.019999999999999574,0.0012870399349049948,0.07374191561773198,0.7726306205995048,8.058513734845858,169.9601903338211
9,40.83435,-73.94909,17.15,10.78923022431878,0.6999999999999993,0.06487951275914093,3.712119553390096,0.7853620526803691,8.843875787526228,180.74942055813986
10,40.83428,-73.94914,16.38,8.842042007998987,-0.7699999999999996,-0.0870839563195262,-4.9769873167694385,0.4106136599364104,9.254489447462639,189.59146256613886
11,40.83404,-73.94931,11.18,30.258667033146953,-5.199999999999999,-0.17185158864743258,-9.751122053360055,1.4051756374870978,10.659665084949737,219.85012959928582
12,40.83404,-73.94931,11.18,0.0,0.0,0.0,0.0,0.0,10.659665084949737,219.85012959928582
13,40.83404,-73.9493,11.25,0.8407800743951506,0.07000000000000028,0.08325601680125166,4.759242302720161,0.06667319261968184,10.726338277569418,220.69090967368098
14,40.83398,-73.94934,8.98,7.467679386252621,-2.2699999999999996,-0.30397662815825777,-16.908045980270405,0.3467899339594753,11.073128211528893,228.1585890599336
15,40.8327,-73.94971,16.84,145.60233754005884,7.859999999999999,0.05398264981726352,3.089978800714793,10.03559252115458,21.108720732683473,373.76092659999244
16,40.83259,-73.94968,19.06,12.481299497390454,2.219999999999999,0.17786609482964083,10.085503079711607,1.4029246768108017,22.511645409494275,386.2422260973829
17,40.83252,-73.94966,20.57,7.958444970599786,1.5100000000000016,0.18973555833812605,10.743342896130123,0.927084294617365,23.43872970411164,394.2006710679827
18,40.83229,-73.94961,22.42,25.902213914595198,1.8500000000000014,0.07142246628414942,4.0852687564446715,1.9455265167483142,25.384256220859953,420.1028849825779
19,40.83215,-73.94959,23.0,15.64813408486183,0.5799999999999983,0.037065122068521666,2.1227033444431234,0.9844712196092311,26.368727440469183,435.75101906743976
20,40.83208,-73.94958,23.0,7.824067185874618,0.0,0.0,0.0,0.389015149080155,26.757742589549338,443.5750862533144
21,40.83186,-73.94956,23.75,24.505291224098766,0.75,0.03060563505005164,1.7530264981732044,1.485399345270892,28.24314193482023,468.08037747741315
22,40.83162,-73.94956,23.75,26.67002723329648,0.0,0.0,0.0,1.3260423733149276,29.569184308135156,494.75040471070963
23,40.83149,-73.94957,23.64,14.470712815763067,-0.10999999999999943,-0.007601560572757378,-0.43552894983322027,0.7194885178751059,30.288672826010263,509.2211175264727
24,40.83146,-73.94958,23.54,3.438150316032116,-0.10000000000000142,-0.02908540663091454,-1.666001360647731,0.15966351250088237,30.448336338511144,512.6592678425048
25,40.83141,-73.94958,23.54,5.556255673780153,0.0,0.0,0.0,0.2762588277827298,30.724595166293874,518.215523516285
26,40.83119,-73.94963,24.0,24.806364424890624,0.46000000000000085,0.01854362824479182,1.0623498777297866,1.397165653280473,32.12176081957435,543.0218879411756
27,40.83086,-73.94976,23.88,38.265678752280294,-0.120000000000001,-0.00313596946174253,-0.17967722584112264,1.9025819143458196,34.024342733920165,581.2875666934559
28,40.83078,-73.94979,24.15,9.240945818002446,0.2699999999999996,0.029217788451265228,1.6735798399168502,0.555581275119903,34.57992400904007,590.5285125114584
29,40.83057,-73.94988,23.89,24.532576107957397,-0.259999999999998,-0.010598153200701343,-0.6072067157224109,1.2197676125771235,35.79969162161719,615.0610886194158
30,40.83044,-73.94992,23.86,14.832611016222504,-0.030000000000001137,-0.0020225704002612877,-0.11588458968335001,0.7374822133609698,36.53717383497816,629.8936996356383
31,40.83031,-73.94995,23.84,14.664837840702942,-0.019999999999999574,-0.0013638064203129912,-0.07814030351064981,0.7291404768528498,37.26631431183101,644.5585374763413
32,40.8301,-73.94998,23.28,23.472209364925092,-0.5599999999999987,-0.02385800123429437,-1.3667035065557174,1.0900208102841533,38.35633512211516,668.0307468412664
33,40.82993,-73.95001,23.0,19.05893565049947,-0.28000000000000114,-0.014691271597460023,-0.8416873069381949,0.947616440049694,39.303951562164855,687.0896824917659
34,40.82984,-73.95002,23.0,10.036543507525346,0.0,0.0,0.0,0.4990201868253746,39.80297174899023,697.1262259992913
35,40.82965,-73.95007,23.24,21.528270194686254,0.23999999999999844,0.0111481320993099,0.6387144596298088,1.0703925516313861,40.87336430062162,718.6544961939775
