,lat,long,elev,d_distance,d_height,slope,slope_angle,d_calories,calories_sum,distance_sum,seg_id,segment
0,40.83477,-73.94735,25.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,157_139
1,40.83479,-73.94737,24.97,2.7869513368669345,-0.1900000000000012,-0.0681748538220253,-3.9000965601750415,0.1294226251651319,0.1294226251651319,2.7869513368669345,1,157_139
2,40.83472,-73.94747,26.01,11.45419851855974,1.0400000000000027,0.0907964008406913,5.1880251008689084,0.9388331732324507,1.068255798397583,14.241149855426675,1,157_139
3,40.83444,-73.94766,26.27,34.97621998104776,0.259999999999998,0.0074336220478051,0.4259073249166446,1.7390289611459422,2.807284759543525,49.21736983647444,1,157_139
4,40.83353,-73.94553,32.0,205.6646253354041,5.73,0.0278608924148007,1.5958987064826609,12.265611635955535,15.07289639549906,254.88199517187857,1,157_139
5,40.83349,-73.94543,32.55,9.51053673165598,0.5499999999999972,0.0578305952143913,3.309762618549247,0.6685016333749056,15.741398028873968,264.3925319035346,1,157_139
6,40.83349,-73.94543,32.55,0.0,0.0,0.0,0.0,0.0,15.741398028873968,264.3925319035346,1,157_139
7,40.83349,-73.94543,32.55,0.0,0.0,0.0,0.0,0.0,15.741398028873968,264.3925319035346,1,157_139
8,40.83346,-73.94545,32.68,3.733845803446793,0.1300000000000025,0.034816649332438,1.994041598699244,0.2319217543988555,15.973319783272824,268.1263777069814,1,157_139
9,40.83343,-73.94547,32.96,3.733846147720105,0.2800000000000011,0.0749896993401749,4.288566445251535,0.2851685300348352,16.25848831330766,271.8602238547015,1,157_139
10,40.83291,-73.94586,37.0,66.44059825942236,4.039999999999999,0.0608061953961569,3.4796540347138847,4.740305045851971,20.99879335915963,338.30082211412383,1,157_139
11,40.83281,-73.94594,37.0,12.989681729718928,0.0,0.0,0.0,0.6458511736342537,21.644644532793883,351.2905038438428,1,157_139
12,40.83251,-73.94616,38.42,38.12545616921062,1.4200000000000017,0.0372454559939604,2.133021472909673,2.4010321070670466,24.04567663986093,389.4159600130534,1,157_139
13,40.8325,-73.94616,38.47,1.1112511341905271,0.0499999999999971,0.0449943297798466,2.5762476070544147,0.0730445441194472,24.118721183980377,390.5272111472439,1,157_139
14,40.83152,-73.94687,43.08,124.19152940059764,4.609999999999999,0.0371200839723116,2.1258481028124883,7.81569025709399,31.934411441074367,514.7187405478415,1,157_139
15,40.8315,-73.94688,43.06,2.3762326107231067,-0.019999999999996,-0.0084166844229571,-0.4822291080146855,0.1181470533609997,32.05255849443537,517.0949731585647,1,157_139
16,40.8309,-73.94734,41.0,77.08123516023471,-2.0600000000000023,-0.0267250517680174,-1.5308682797694635,3.579558664495176,35.63211715893054,594.1762083187994,1,157_139
17,40.83088,-73.94734,41.0,2.2225022697948127,0.0,0.0,0.0,0.1105035311271504,35.74262069005769,596.3987105885942,1,157_139
18,40.83066,-73.94749,39.22,27.509128880902427,-1.7800000000000011,-0.0647057930371515,-3.702207757118124,1.2774904350410374,37.02011112509873,623.9078394694966,1,157_139
19,40.83066,-73.9475,39.13,0.8408229374406344,-0.0899999999999963,-0.1070379933662914,-6.109563437994409,0.0390467929680324,37.05915791806676,624.7486624069372,1,157_139
20,40.83026,-73.94779,37.87,50.69894479327247,-1.2600000000000051,-0.0248525882567718,-1.4236553578976008,2.354397237385531,39.41355515545229,675.4476072002097,1,157_139
21,40.82965,-73.94824,35.23,77.63154334005262,-2.640000000000001,-0.034006795258931,-1.9476952625716288,3.605114306009156,43.01866946146145,753.0791505402624,1,157_139
22,40.82963,-73.94825,35.0,2.376241001986255,-0.2299999999999968,-0.0967915290611281,-5.528524185998736,0.1103497375192125,43.12901919898066,755.4553915422487,1,157_139
23,40.82963,-73.94825,35.0,0.0,0.0,0.0,0.0,0.0,43.12901919898066,755.4553915422487,1,157_139
24,40.82903,-73.94869,34.15,76.25181382158392,-0.8500000000000014,-0.0111472758141708,-0.6386654042014639,3.791264826430525,46.92028402541119,831.7072053638326,1,157_139
25,40.8284,-73.94916,34.02,80.39311303413116,-0.1299999999999954,-0.0016170539377521,-0.0926502851223173,3.997171561672152,50.91745558708335,912.1003183979636,1,157_139
26,40.82778,-73.94961,34.21,78.60424405835617,0.1899999999999977,0.0024171722821854,0.1384935003993177,3.9082284180661855,54.82568400514953,990.70456245632,1,157_139
27,40.82777,-73.94962,34.18,1.393529266041399,-0.0300000000000011,-0.0215280731672196,-1.23327723303183,0.0647138015901885,54.89039780673972,992.0980917223612,1,157_139
28,40.8275,-73.94981,34.05,33.992220863738005,-0.1300000000000025,-0.0038244044283285,-0.2191211646047617,1.6901042070223993,56.58050201376212,1026.0903125860991,1,157_139
29,40.82749,-73.94982,34.1,1.393531409603086,0.0500000000000042,0.0358800667537487,2.05489488652137,0.0870839766601925,56.66758599042232,1027.4838439957025,1,157_139
30,40.82715,-73.95007,34.19,43.236896793175646,0.0899999999999963,0.0020815554925348,0.1192641722925387,2.149752481947826,58.81733847237015,1070.7207407888782,1,157_139
31,40.82715,-73.95008,34.11,0.8408674459676858,-0.0799999999999983,-0.0951398468137065,-5.4347533589623565,0.0390488598898107,58.85638733225996,1071.5616082348458,1,157_139
32,40.8267,-73.95041,34.0,57.18934865905288,-0.1099999999999994,-0.0019234350902611,-0.1102045769350823,2.843472897901945,61.6998602301619,1128.7509568938988,1,157_139
33,40.82669,-73.95041,34.0,1.1112511348974063,0.0,0.0,0.0,0.0552517655635752,61.75511199572548,1129.8622080287962,1,157_139
